parent,culprit,correction
http://fieldnotes.makingandknowing.org/mainSpace/Field%20Notes%20Fall%202015.html,http://fieldnotes.makingandknowing.org/mainSpace/Rosenkranz%20-%20Field%20Notes%20FA15.html,
http://fieldnotes.makingandknowing.org/mainSpace/Field%20Notes%20Fall%202015.html,http://fieldnotes.makingandknowing.org/mainSpace/Shah%C2%A0-%C2%A0Field%20Notes%20FA15.html,
http://fieldnotes.makingandknowing.org/mainSpace/Field%20Notes%20Fall%202015.html,http://fieldnotes.makingandknowing.org/mainSpace/Zhao%C2%A0-%C2%A0Field%20Notes%20FA15.html,
http://fieldnotes.makingandknowing.org/mainSpace/Emilie%C2%A0Foyer%20-%20Field%20Notes%20FA15.html,http://fieldnotes.makingandknowing.org/mainSpace/Madder%20Lake%20Reconstruction%C2%A0.html,
http://fieldnotes.makingandknowing.org/mainSpace/Fall%202015.html,http://fieldnotes.makingandknowing.org/mainSpace/Estrades%20-%20Field%20Notes%20FA15.html,
http://fieldnotes.makingandknowing.org/mainSpace/Fall%202015.html,http://fieldnotes.makingandknowing.org/mainSpace/Kremnitzer%2C%20Kathryn%C2%A0-%C2%A0Field%20Notes%20FA15.html,
http://fieldnotes.makingandknowing.org/mainSpace/Fall%202015.html,http://fieldnotes.makingandknowing.org/mainSpace/Lou%20-%20Field%20Notes%20FA15.html,
http://fieldnotes.makingandknowing.org/mainSpace/Sayantani%C2%A0Mukherjee%20-%20Field%20Notes%20FA15.html,http://fieldnotes.makingandknowing.org/mainSpace/Mukherjee-Home%20Culinary%20Reconstruction%20Experiment%20FA15.html,
http://fieldnotes.makingandknowing.org/mainSpace/Sayantani%C2%A0Mukherjee%20-%20Field%20Notes%20FA15.html,http://fieldnotes.makingandknowing.org/mainSpace/Notes.html,
http://fieldnotes.makingandknowing.org/mainSpace/Fall%202015.html,http://fieldnotes.makingandknowing.org/mainSpace/Rosenkranz%20-%20Field%20Notes%20FA15.html,
http://fieldnotes.makingandknowing.org/mainSpace/Fall%202015.html,http://fieldnotes.makingandknowing.org/mainSpace/Shah%C2%A0-%C2%A0Field%20Notes%20FA15.html,
http://fieldnotes.makingandknowing.org/mainSpace/Fall%202015.html,http://fieldnotes.makingandknowing.org/mainSpace/Zhao%C2%A0-%C2%A0Field%20Notes%20FA15.html,
http://fieldnotes.makingandknowing.org/mainSpace/Spring%202015.html,http://fieldnotes.makingandknowing.org/mainSpace/Chiostrini%2C%20Giuila.html,
http://fieldnotes.makingandknowing.org/mainSpace/Spring%202015.html,http://fieldnotes.makingandknowing.org/mainSpace/Palframan%2C%20Jef.html,
http://fieldnotes.makingandknowing.org/mainSpace/Spring%202015.html,http://fieldnotes.makingandknowing.org/mainSpace/Boulboull%C3%A9%2C%20Jenny.html,
http://fieldnotes.makingandknowing.org/mainSpace/2014%20Field%20Notes.html,http://fieldnotes.makingandknowing.org/mainSpace/Boulboull%C3%A9%20Field%20Notes.html,
